row_id	locus	locus_id	parva	deviation_type	deviation_term_sa	classification	term_tokens_slp1	matched_sutra_ids	match_kind	matched_sutra_texts_slp1
NIL-089	MBh 8.7.3	P08_U01_A007_S003	karnaparva	transfer — case	vibhakti-vyatyaya	auto	viBakti,vyatyaya	5.3.1	word	prAgdiSo viBaktiH
NIL-090	MBh 8.10.11	P08_U01_A010_S011	karnaparva	compound-final / ṭac suffix	samāsānta	auto	samAsAnta			
NIL-091	MBh 8.10.45	P08_U01_A010_S045	karnaparva	elision — taddhita suffix	taddhita-luk	auto	tadDita,luk	1.2.49;4.1.17;4.1.90;4.1.109;4.3.163;4.3.168;4.4.125;6.4.104;6.4.153;7.1.22	word	luk tadDitaluki | prAcAM zPa tadDitaH | yUni luk | luk striyAm | Pale luk
NIL-092	MBh 8.12.1	P08_U01_A012_S001	karnaparva	absence of pragṛhya status	pragṛhyatva-abhāva	auto	pragfhyatva			
NIL-093	MBh 8.12.22	P08_U01_A012_S022	karnaparva	compound — member order	pūrva-nipāta	auto	pUrva,nipAta	1.1.14;1.1.65;6.1.107;6.1.135;6.2.83;8.2.98	word	nipAta ekAjanAN | alo'ntyAt pUrva upaDA | ami pUrvaH | suw kAt pUrvaH | antyAt pUrvaM bahvacaH
NIL-094	MBh 8.44.14	P08_U01_A044_S014	karnaparva	sandhi	sandhi	auto	sanDi			
NIL-095	MBh 8.67.6	P08_U01_A067_S006	karnaparva	absence of the nuṭ augment	nuḍ-abhāva	auto	nuq	6.1.176;6.3.74;7.4.71	substring	hrasvanuqByAM matup | tasmAnnuqaci | tasmAnnuq dvihalaH
NIL-096	MBh 8.80.18	P08_U01_A080_S018	karnaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-097	MBh 9.1.1	P09_U01_A001_S001	shalyaparva	elision	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-098	MBh 9.1.20	P09_U01_A001_S020	shalyaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-099	MBh 9.4.17	P09_U01_A004_S017	shalyaparva	absence of the iṭ augment	iḍ-abhāva	auto	iq	1.4.61;3.1.13;3.4.78;4.1.15;5.1.23;5.2.32;6.1.29;6.2.72;6.4.41;7.2.66	substring	UryAdicviqAcaSca | lohitAdiqAjByaH kyaz | tiptasJisipTasTamibvasmas tAtAMJaTAsATAMDvamiqvahimahiN | wiqQARaYdvayasajdaGnaYmAtractayapWakWaYkaYkvarapaH | vatoriqvA
NIL-100	MBh 11.13.4	P11_U01_A013_S004	striparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-101	MBh 11.27.14	P11_U03_A027_S014	striparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-102	MBh 12.1.7	P12_U01_A001_S007	shantiparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-103	MBh 12.11.14	P12_U01_A011_S014	shantiparva	absence of guṇa	guṇa-abhāva	auto	guRa	1.1.2;6.4.156;7.3.108;7.4.16;7.4.21;7.4.75	word	adeN guRaH | sTUladUrayuvahrasvakziprakzudrARAM yaRAdiparaM pUrvasya ca guRaH | hrasvasya guRaH | fdfSo'Ni guRaH | SINaH sArvaDAtuke guRaH
NIL-104	MBh 12.29.143	P12_U01_A029_S143	shantiparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-105	MBh 12.40.2	P12_U01_A040_S002	shantiparva	stem vowel — ī for the expected e of the reduplicated perfect	niṣīdatuḥ for niṣedatuḥ	hand	nizIdatuH,nizedatuH			
NIL-106	MBh 12.60.46	P12_U01_A060_S046	shantiparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-107	MBh 12.90.23	P12_U01_A090_S023	shantiparva	transfer — gender	liṅga-vyatyaya	auto	liNga,vyatyaya	2.3.46;2.4.26;3.1.46;4.1.170	substring	prAtipadikArTaliNgaparimARavacanamAtre praTamA | paravalliNgaM dvandvatatpuruzayoH | Sliza AliNgane | dvyaYmagaDakaliNgasUramasAdaR
NIL-108	MBh 12.100.43	P12_U01_A100_S043	shantiparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-109	MBh 12.133.8	P12_U02_A133_S008	shantiparva	transfer — number	vacana-vyatyaya	auto	vacana,vyatyaya	1.1.11;1.1.58;1.2.56;1.2.58;1.2.61;1.2.63;1.4.21;1.4.102;2.3.9;2.3.33	substring	IdUdeddvivacanaM pragfhyam | na padAntadvirvacanavareyalopasvarasavarRAnusvAradIrGajaScarviDizu | praDAnapratyayArTavacanamarTasyAnyapramARatvAt | jAtyAKyAyAmekasmin bahuvacanamanyatarasyAm | Candasi punarvasvorekavacanam
NIL-110	MBh 12.153.39	P12_U02_A153_S039	shantiparva	transfer — number	vacana-vyatyaya	auto	vacana,vyatyaya	1.1.11;1.1.58;1.2.56;1.2.58;1.2.61;1.2.63;1.4.21;1.4.102;2.3.9;2.3.33	substring	IdUdeddvivacanaM pragfhyam | na padAntadvirvacanavareyalopasvarasavarRAnusvAradIrGajaScarviDizu | praDAnapratyayArTavacanamarTasyAnyapramARatvAt | jAtyAKyAyAmekasmin bahuvacanamanyatarasyAm | Candasi punarvasvorekavacanam
NIL-111	MBh 12.174.58	P12_U03_A174_S058	shantiparva	transfer — pada (voice/ending)	pada-vyatyaya	auto	pada,vyatyaya	3.1.60	word	ciR te padaH
NIL-112	MBh 12.175.25	P12_U03_A175_S025	shantiparva	transfer — gender	liṅga-vyatyaya	auto	liNga,vyatyaya	2.3.46;2.4.26;3.1.46;4.1.170	substring	prAtipadikArTaliNgaparimARavacanamAtre praTamA | paravalliNgaM dvandvatatpuruzayoH | Sliza AliNgane | dvyaYmagaDakaliNgasUramasAdaR
NIL-113	MBh 12.179.25	P12_U03_A179_S025	shantiparva	non-elision of the case ending	vibhakti-aluk	auto	viBakti,aluk	5.3.1	word	prAgdiSo viBaktiH
NIL-114	MBh 12.182.26	P12_U03_A182_S026	shantiparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-115	MBh 12.206.28	P12_U03_A206_S028	shantiparva	transfer — case	vibhakti-vyatyaya	auto	viBakti,vyatyaya	5.3.1	word	prAgdiSo viBaktiH
NIL-116	MBh 12.219.34	P12_U03_A219_S034	shantiparva	matup-sense suffix	matvarthīya	auto	matvarTIya			
NIL-117	MBh 12.237.3	P12_U03_A237_S003	shantiparva	case ending — (a)luk	aluk / luk	auto	aluk,luk	1.2.49;4.1.90;4.1.109;4.3.163;4.3.168;4.4.125;6.4.104;6.4.153;7.1.22	word	luk tadDitaluki | yUni luk | luk striyAm | Pale luk | kaMsIyaparaSavyayoryaYaYO luk ca
NIL-118	MBh 12.239.9	P12_U03_A239_S009	shantiparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-119	MBh 12.261.30	P12_U03_A261_S030	shantiparva	matup-sense suffix	matvarthīya	auto	matvarTIya			
NIL-120	MBh 12.263.37	P12_U03_A263_S037	shantiparva	transfer — number	vacana-vyatyaya	auto	vacana,vyatyaya	1.1.11;1.1.58;1.2.56;1.2.58;1.2.61;1.2.63;1.4.21;1.4.102;2.3.9;2.3.33	substring	IdUdeddvivacanaM pragfhyam | na padAntadvirvacanavareyalopasvarasavarRAnusvAradIrGajaScarviDizu | praDAnapratyayArTavacanamarTasyAnyapramARatvAt | jAtyAKyAyAmekasmin bahuvacanamanyatarasyAm | Candasi punarvasvorekavacanam
NIL-121	MBh 12.269.14	P12_U03_A269_S014	shantiparva	absolutive suffix	ktvā / lyap	auto	ktvA,lyap	1.2.7;1.2.18;1.2.22;2.2.22;3.4.18;7.1.37	word	mfqamfdaguDakuzakliSavadavasaH ktvA | na ktvA sew | pUNaH ktvA ca | ktvA ca | alaNKalvoH pratizeDayoH prAcAM ktvA
NIL-122	MBh 12.272.19	P12_U03_A272_S019	shantiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-123	MBh 12.280.31	P12_U03_A280_S031	shantiparva	transfer — gender	liṅga-vyatyaya	auto	liNga,vyatyaya	2.3.46;2.4.26;3.1.46;4.1.170	substring	prAtipadikArTaliNgaparimARavacanamAtre praTamA | paravalliNgaM dvandvatatpuruzayoH | Sliza AliNgane | dvyaYmagaDakaliNgasUramasAdaR
NIL-124	MBh 12.280.35	P12_U03_A280_S035	shantiparva	elision	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-125	MBh 12.284.98	P12_U03_A284_S098	shantiparva	mum augment	mum-āgama	auto	mum,Agama	6.3.67	word	arurdvizadajantasya mum
NIL-126	MBh 12.284.141	P12_U03_A284_S141	shantiparva	absence of puṃvadbhāva	puṃvadbhāva-abhāva	auto	puMvadBAva			
NIL-127	MBh 12.284.153	P12_U03_A284_S153	shantiparva	compound-final / ṭac suffix	samāsānta	auto	samAsAnta			
NIL-128	MBh 12.291.12	P12_U03_A291_S012	shantiparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-129	MBh 12.302.38	P12_U03_A302_S038	shantiparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-130	MBh 12.305.27	P12_U03_A305_S027	shantiparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-131	MBh 12.305.38	P12_U03_A305_S038	shantiparva	kṛtya suffix (tvan)	tvan	auto	tvan	3.4.14	substring	kftyArTe tavEkenkenyatvanaH
NIL-132	MBh 12.307.10	P12_U03_A307_S010	shantiparva	sandhi	sandhi	auto	sanDi			
NIL-133	MBh 12.307.17	P12_U03_A307_S017	shantiparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-134	MBh 12.320.36	P12_U03_A320_S036	shantiparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-135	MBh 12.334.5	P12_U03_A334_S005	shantiparva	transfer — gender	liṅga-vyatyaya	auto	liNga,vyatyaya	2.3.46;2.4.26;3.1.46;4.1.170	substring	prAtipadikArTaliNgaparimARavacanamAtre praTamA | paravalliNgaM dvandvatatpuruzayoH | Sliza AliNgane | dvyaYmagaDakaliNgasUramasAdaR
NIL-136	MBh 12.339.13	P12_U03_A339_S013	shantiparva	transfer — pada (voice/ending)	pada-vyatyaya	auto	pada,vyatyaya	3.1.60	word	ciR te padaH
NIL-137	MBh 12.341.43	P12_U03_A341_S043	shantiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-138	MBh 12.342.77	P12_U03_A342_S077	shantiparva	bha-stem treatment	bhatva	auto	Batva			
NIL-139	MBh 12.351.11	P12_U03_A351_S011	shantiparva	absence of the u-substitution	utva-abhāva	auto	utva	4.2.32	substring	dyAvApfTivISunAsIramarutvadagnIzomavAstozpatigfhameDAcCa ca
NIL-140	MBh 13.3.8	P13_U01_A003_S008	anushasanaparva	elision — anusvāra	anusvāra-lopa	auto	anusvAra,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-141	MBh 13.14.99	P13_U01_A014_S099	anushasanaparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-142	MBh 13.17.83	P13_U01_A017_S083	anushasanaparva	absence of guṇa	guṇa-abhāva	auto	guRa	1.1.2;6.4.156;7.3.108;7.4.16;7.4.21;7.4.75	word	adeN guRaH | sTUladUrayuvahrasvakziprakzudrARAM yaRAdiparaM pUrvasya ca guRaH | hrasvasya guRaH | fdfSo'Ni guRaH | SINaH sArvaDAtuke guRaH
NIL-143	MBh 13.17.91	P13_U01_A017_S091	anushasanaparva	pūrvasavarṇa (case-ending fusion)	pūrvasavarṇa	auto	pUrvasavarRa	6.1.102	word	praTamayoH pUrvasavarRaH
NIL-144	MBh 13.17.110	P13_U01_A017_S110	anushasanaparva	stem-final vowel (a-stem)	adantatva	auto	adantatva			
NIL-145	MBh 13.17.120	P13_U01_A017_S120	anushasanaparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-146	MBh 13.26.91	P13_U01_A026_S091	anushasanaparva	absence of the num augment	num-abhāva	auto	num	7.1.58	word	idito num DAtoH
NIL-147	MBh 13.92.12	P13_U01_A092_S012	anushasanaparva	absence of saṃprasāraṇa	saṃprasāraṇa-abhāva	auto	saMprasAraRa			
NIL-148	MBh 13.93.98	P13_U01_A093_S098	anushasanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-149	MBh 13.99.7	P13_U01_A099_S007	anushasanaparva	gender — feminine	strītva	auto	strItva			
NIL-150	MBh 13.110.3	P13_U01_A110_S003	anushasanaparva	transfer — case	vibhakti-vyatyaya	auto	viBakti,vyatyaya	5.3.1	word	prAgdiSo viBaktiH
NIL-151	MBh 13.118.4	P13_U01_A118_S004	anushasanaparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
