row_id	source	work	locus	locus_id	parva	commentator	term_family	defense_term	deviation_type	deviation_term_sa	classification	agreement_n	agreement_commentators	quote
NIL-051	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.10.15	P04_U01_A010_S015	virataparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — case ending	vibhakti-lopa	auto	1	nīlakaṇṭhaḥ	समानो वर्णो येषां ते सवर्णाः वर्णस्य वर्णेन विमिश्रिताश्च पाटलादयः । विभक्त्यलोप आर्षः । सवर्णाश्च वर्णविमिश्रिताश्च तान् । तत्तद्गुणैः उपलक्षितान् ॥१५॥
NIL-052	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.24.10	P04_U03_A024_S010	virataparva	nīlakaṇṭhaḥ	chāndasa	छान्दसम्	kṛtya suffix (tvan)	tvan	auto	1	nīlakaṇṭhaḥ	"न हित्वामिति । हित्वां हातुं योग्याम् ""कृत्यार्थे तवैकेन्केन्यत्वनः"" इति त्वन् जहातेश्चेति हित्वमवत्वायामपि छान्दसम् । पित्वो भिक्षेतेत्यादिवत् त्वां सैरंध्रीं हित्वां त्यक्तुं योग्यामप्यहं राजा गच्छेति वक्तुं नोत्सहे स्त्रियास्तु सुदेष्णायास्तव तां प्रत्येतद्वक्तुमदोष इति राजवावयानु"
NIL-053	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.28.4	P04_U04_A028_S004	virataparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the num augment	num-abhāva	auto	1	nīlakaṇṭhaḥ	समं वदत् समं पक्षपातशून्यं वदत् वदन् । नुमभाव आर्षः ॥४॥
NIL-054	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.59.5	P04_U04_A059_S005	virataparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	न प्रजानन्त अडभाव आर्षः । न च ज्ञातवन्तः ॥५॥
NIL-055	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.61.11	P04_U04_A061_S011	virataparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/syllable	varṇa-lopa	auto	1	nīlakaṇṭhaḥ	न संधानं न संदधानं वर्णलोप आर्षः ॥११॥
NIL-056	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.65.3	P04_U04_A065_S003	virataparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	एकशृङ्गः पर्वतो यथा एकेन पर्ववता दीर्घवंशेन । एकः पर्वा यस्मिन्निति समासः। मतुब्लोप आर्षः ॥३॥
NIL-057	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.1.15	P05_U01_A001_S015	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	1	nīlakaṇṭhaḥ	बुभूषेत् प्राप्तुमिच्छेत् तङ्भाव आर्षः ॥१५॥
NIL-058	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.3.3	P05_U01_A003_S003	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	case ending — luk / ḍa-substitution	supāṃ suluk	auto	1	nīlakaṇṭhaḥ	फलाफलवती सुपो लुक् आर्षः पूर्वसवर्णो वा ॥३॥
NIL-059	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.13.21	P05_U01_A013_S021	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	1	nīlakaṇṭhaḥ	अकम्पत् अकम्पत तङभाव आर्षः ॥२१॥
NIL-060	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.13.27	P05_U01_A013_S027	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	कर्मसु इह रणय इष्टं कामं गमय प्रापय ॥ रण गतावितस्य रूपम् । अमुष्य बुद्धिस्थस्य दिवं शासत इन्द्रस्य दिवं प्रकाशं यय गमय यच्छेत्यर्थः । व्यय गतावित्यस्य लोटि रूपम् । वलोप आर्षः । हे दिवावसो अह्नो धनं सूर्यस्तद्वत् तमोग्रस्तमर्थं प्रकाशयितुं समर्थः ॥२७॥
NIL-061	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.14.16	P05_U01_A014_S016	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	1	nīlakaṇṭhaḥ	त्रस्यसि पालयिष्यसि तङभाव आर्षः ॥१६॥
NIL-062	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.27.14	P05_U02_A027_S014	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	1	nīlakaṇṭhaḥ	लाभ इत्यत आह - स इति । सः त्वमेवं निष्कामकर्मकृत् क्रोधजं लोकं नरकं हर्षजं स्वर्गं चेत्युभौ लोकौ चिराय अपुनरावृत्तये मा प्रहासीः मा गच्छ । ओहाङ् गतावितस्य रूपम् । तङभाव आर्षः । कर्मजं फलं त्यक्त्वा परेण वैराग्येण संपन्नो मोक्षार्थं योगाभ्यासमेव कुरुष्व किं राज्येन बन्धुनाशलभ्येनेत्यर्थः ॥१४॥
NIL-063	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.43.41	P05_U04_A043_S041	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	णम् । तथा त्रिवेदाः त्रीन् क्षरमक्षरमुत्तमं चेति पुरुषं वेदयन्ते त्रिवेदाः । 'क्षरं प्रधानं अमृताक्षरं ह क्षरात्मानावीशते देव एकः' इति अमृतो जीवः कूटस्थः सोऽक्षरं- सुलोप आर्षः- ईशते ईष्टे । 'क्षरः सर्वाणि भूतानि कूटस्थोऽक्षर उच्यते । उत्तमः पुरुषस्त्वन्यः परमात्मेत्युदाहृतः' इति ॥४१॥
NIL-064	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.45.5	P05_U04_A045_S005	udyogaparva	nīlakaṇṭhaḥ	chāndasa	डादेशश्छान्दसः	case ending — luk / ḍa-substitution	supāṃ suluk	auto	1	nīlakaṇṭhaḥ	महाव्रता महाव्रतानि । सुपां सुलुगिति सुपो डादेशश्छान्दसः ॥५॥
NIL-065	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.46.3	P05_U04_A046_S003	udyogaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसं	preverb–verb separation	vyavahita	auto	1	nīlakaṇṭhaḥ	िषूचीर्वसानाविति पाठे सः शुक्रसंज्ञः शुद्ध आत्मा कीदृशौ उभौ देवौ सध्रीचीः विषूचीश्च आवसानौ दिशः उपदिशश्च पटवद्वसानौ । दिगन्तपर्यन्तं विस्तीर्णावित्यर्थः । व्यवहिताश्चेति छान्दसं क्रियोपसर्गयोर्व्यवधानम् । शेषं प्राग्वदेव ॥३॥
NIL-066	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.48.3	P05_U05_A048_S003	udyogaparva	nīlakaṇṭhaḥ	chāndasa	धातूपसर्गयोश्छान्दसं	preverb–verb separation	vyavahita	auto	1	nīlakaṇṭhaḥ	अन्वत्रस्त इत्यनुशब्दस्य अवोचदित्यनेन सम्बन्धः। व्यवहिताश्चेति धातूपसर्गयोश्छान्दसं व्यवहितत्वम् । विदानः जानन् उपह्वरे समीपे कुरूणां मध्ये धार्तराष्ट्रं ब्रूयाः इत्यन्ववोचदिति संबन्धः ॥३॥
NIL-067	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.48.14	P05_U05_A048_S014	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षो	transfer — tense/mood (lakāra)	lakāra-vyatyaya	auto	1	nīlakaṇṭhaḥ	क्रोधमवस्रष्टा उत्स्रक्ष्यति । उद्वृत्तं क्रोधाक्रान्तं चेतो यस्य सः उद्वृत्तचेताः । जन्मना सुवृत्तचेता अपि सन् । अन्वतप्स्यत् शोचिष्यति । आर्षो लकारव्यत्ययः ॥१४॥
NIL-068	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.48.99	P05_U05_A048_S099	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	compound — member order	pūrva-nipāta	auto	1	nīlakaṇṭhaḥ	ा अनागतार्थज्ञापकाः । मृगचक्राः- चक्राणि सर्वतोभद्रादीनि शैवागमप्रसिद्धानि मृगयन्ते किं नक्षत्रं केन ग्रहेण विद्धमिति विचारयन्ति सदसत्फलकथनार्थं ते चक्रमृगाः- पूर्वनिपात आर्षः- मृगाणि मार्गितानि चक्राणि यैस्ते इति वा ॥९९॥
NIL-069	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.77.13	P05_U06_A077_S013	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	transfer — gender	liṅga-vyatyaya	auto	1	nīlakaṇṭhaḥ	तं प्रकृते योजयति- तत्रेति । अनुमात्राऽवधारणं निश्चय इत्यर्थः । 'मात्रं कार्त्स्न्येऽवधारणे' इति कोशः । लिङ्गव्यत्यय आर्षः ॥१३॥
NIL-070	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.141.47	P05_U06_A141_S047	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षो	upapada government	upapada-yoga	auto	1	nīlakaṇṭhaḥ	आनर्दं महानादं नर्दतः णमुलन्तं पूर्वपदं सूयं सोमाभिषवः राजसूयसूर्येति निपातनात् उपपदयोगस्त्वनित्यः आर्षो वा । तदभावेऽपि सुञः क्यप् दीर्घश्च । सुत्यमित्यपि पठन्ति ॥४७॥
NIL-071	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.144.13	P05_U06_A144_S013	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षमात्मनेपदम्	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	1	nīlakaṇṭhaḥ	पश्ये पश्यामि आर्षमात्मनेपदम् । अयुद्धे युद्धाभावे ॥१३॥
NIL-072	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.160.116	P05_U08_A160_S116	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	्षावेण्युपलक्षितेषु रत्यवमर्ददशनस्थानेषु संयुगे स्मरयुद्धे उपस्थिते सति पलायते स्त्री त्वस्मिन्संयुगे स्थिरीभवति । अयं तु ततोऽप्यधम इति भावः। कक्षायामित्यपेक्षित आकारलोप आर्षः ॥११६॥
NIL-073	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 5.175.2	P05_U10_A175_S002	udyogaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	समनुज्ञासिषं समनुज्ञातवान् अडभाव आर्षः ॥२॥
NIL-074	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.3.34	P06_U01_A003_S034	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — case ending	vibhakti-lopa	auto	1	nīlakaṇṭhaḥ	प्रतिस्रोतसो महानद्यः विपरीतप्रवाहाः । विभक्तिलोप आर्षः विशेषणं विशेष्येण बहुलमिति समासो वा क्रियाविशेषणं वा । कूपा जलाशयाः । कूर्दन्ति क्रीडन्ति । वातैः क्षुभ्यन्तः इत्यर्थः ॥३४॥
NIL-075	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.29.27	P06_U03_A029_S027	bhishmaparva	nīlakaṇṭhaḥ	chāndasa	विसर्गलोपश्छान्दसः	elision — visarga	visarga-lopa	auto	1	nīlakaṇṭhaḥ	ताश्रयणे प्रयोजयेत्। त्रिरुन्नतं स्थाप्य समं शरीरं हृदीन्द्रियाणि मनसा संनिरुध्य। ब्रह्मोडुपेन प्रतरेत विद्वान्स्रोतांसि सर्वाणि भयावहानि।” इति। चक्षुरित्यत्र विसर्गलोपश्छान्दसः। त्रिरुन्नतं कटिवक्षःकन्धराप्रदेशेषून्नतम्। ततो जितासनः प्राणायाममभ्यसेत्। तेन हि मन्दगतौ प्राणे सति तदनुसारि मनोऽपि चाञ्चल्यं त्यजति। नोचेद्वायुविक्षेपेण विक्षिप्यते।
NIL-076	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.32.3	P06_U03_A032_S003	bhishmaparva	nīlakaṇṭhaḥ	chāndasa	उत्वाभावश्छान्दसः	absence of the u-substitution	utva-abhāva	auto	1	nīlakaṇṭhaḥ	गीतासु “क्षरं प्रधानममृताक्षरं हरः क्षरात्मानावीशते देव एकः” इति श्रुतौ च कूटस्थपदेनामृतपदेन च विशेषितस्याक्षरपदस्य जीववाचित्वदर्शनात्। अमृतोक्षरमित्यपेक्षिते उत्वाभावश्छान्दसः। त(य)थाचाक्षरं जीवाख्यं परमं ब्रह्म। परममिति विशेषणेन सोपाधिकस्य पूर्वाध्यायोक्तस्य व्यावृत्तिः। नहि जीवस्य सोपाधिकस्य ब्रह्मभावः संभवति। व्यावर्तकोपाधौ मायादर्पणे जाग्
NIL-077	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.35.8	P06_U03_A035_S008	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	transfer — stem-class (vikaraṇa)	pada-vikaraṇa-vyatyaya	auto	1	nīlakaṇṭhaḥ	यत्तूक्तं ‘मन्यसे यदि तच्छक्यं मया द्रष्टुम्’ इति तत्राह -- नत्विति। शक्यसे शक्नोषि। पदविकरणव्यत्यय आर्षः। अनेन प्राकृतेन। दिव्यमप्राकृतम्। ऐश्वरं ईश्वरसंबन्धिनं योगं विश्वाश्रयत्वलक्षणं सामर्थ्यम् ॥८॥
NIL-078	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.35.48	P06_U03_A035_S048	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of ru-substitution	ru-tva-abhāva	auto	1	nīlakaṇṭhaḥ	च दानैर्न च क्रियाभिः स्मृत्युक्ताभिरापूर्तादिभिर्वापीकूपारामादिभिस्तपोभिः कृच्छ्रचान्द्रयणाद्यैः। उग्रैर्मासोपवासाद्यैः। नृलोके एवंरूपोऽहं द्रष्टुं न शक्यः। रोरुत्वाभाव आर्षः। त्वदन्येन कुरुप्रवीर ॥४८॥
NIL-079	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.42.55	P06_U03_A042_S055	bhishmaparva	nīlakaṇṭhaḥ	chāndasa	एकस्तकारश्छान्दस्यां	elision	lopa	auto	1	nīlakaṇṭhaḥ	ूपा प्रथममुक्ता। “य एवं वेदाहं ब्रह्मास्मीति स इदं सर्वं भवति”, “स एतमेव पुरुषं ब्रह्म ततममपश्यत्” इत्यादिश्रुतिभ्यो मुक्तानां सार्वात्म्यावगमात्। ततमं तततमम्। एकस्तकारश्छान्दस्यां प्रक्रियायां लुप्तो द्रष्टव्य इति श्रुतिभाष्यम्। अनन्तरं कारणभावापत्तेरनुपदमेव तत् ब्रह्म तच्छब्दाभिधेयम् “तदिति वा एतस्य महतो भूतस्य नाम भवति” इति श्रुतेः। शुद्धं ब
NIL-080	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.43.26	P06_U04_A043_S026	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of an expected elision	lopa-abhāva	auto	1	nīlakaṇṭhaḥ	मिथोऽन्योन्यं एषो हीति सुलोपाभाव आर्षः ॥२६॥
NIL-081	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.43.32	P06_U04_A043_S032	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of compounding	asamāsa	auto	1	nīlakaṇṭhaḥ	धिक्कृत्वा धिक्कृत्य असमास आर्षः धिगित्यकरोदिति वा ॥३२॥
NIL-082	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.44.28	P06_U04_A044_S028	bhishmaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अन्तर्धीयत अन्तर्हितः । अडभाव आर्षः । सैन्येन सेनाभवेन ॥२८॥
NIL-083	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 6.110.41	P06_U04_A110_S041	bhishmaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसः	aṭ augment	aḍ-āgama	auto	1	nīlakaṇṭhaḥ	अप्रैषीत् उपसर्गात्पूर्वोऽडागमस्तु छान्दसः एवमन्यत्रापि ॥४१॥
NIL-084	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 7.67.13	P07_U03_A067_S013	dronaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	वस्वोकसारा सलोप आर्षः । कनकमयानि ओकांसि सारो यस्याः सा तथा ॥१३॥
NIL-085	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 7.175.32	P07_U06_A175_S032	dronaparva	nīlakaṇṭhaḥ	ārṣa	आर्षोऽच्प्रत्ययः	compound-final / ṭac suffix	samāsānta	auto	1	nīlakaṇṭhaḥ	तस्य घटोत्कचस्य आसक्तमन्योन्यसंसक्तं यथा स्यात्तथा शरानस्यतः । आशक्तमिति पाठे यावच्छक्ति आर्षोऽच्प्रत्ययः समासान्तः ॥३२॥
NIL-086	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 7.188.52	P07_U07_A188_S052	dronaparva	nīlakaṇṭhaḥ	ārṣa	आर्षं	gender — neuter	klībatva	auto	1	nīlakaṇṭhaḥ	पारमवधिः आर्षं क्लीबत्वम् । अन्यतरेणेति शेषः । गम्यते प्राप्यते अन्योन्ययुद्धे । ततस्तदा संकुलयुद्धमनियतयोधं युद्धम् ॥५२॥
NIL-087	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 7.201.77	P07_U08_A201_S077	dronaparva	nīlakaṇṭhaḥ	chāndasa	सुपश्छान्दसोऽडादेशः	case ending — luk / ḍa-substitution	supāṃ suluk	auto	1	nīlakaṇṭhaḥ	भूतमिति । संभूता संभूतानि । विश्वा विश्वानि । उभयत्र सुपश्छान्दसोऽडादेशः । भजस्व इष्टकामपूरणेन पालय । मा रीरिषः मा हिंसीः मां केन अहिताहितेन अहितानां कामादीनाम् आहितम् आधानं मच्चेतसि प्रवेशनं तेनेत्यर्थः ॥७७॥
NIL-088	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.3.21	P08_U01_A003_S021	karnaparva	nīlakaṇṭhaḥ	chāndasa	क्त्वाप्रत्ययश्छान्दसः	absolutive suffix	ktvā	auto	1	nīlakaṇṭhaḥ	पीडयित्वा हत्वेत्यनेककर्तृकेऽपि क्त्वाप्रत्ययश्छान्दसः अन्येऽभ्योऽपि दृश्यन्ते इति वनिवन्तं वा शब्दद्वयं दृशिग्रहणादाद्ये तुगपि । पीडयन् निघ्नन्निति वाऽर्थः ॥२१॥
NIL-089	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.7.3	P08_U01_A007_S003	karnaparva	nīlakaṇṭhaḥ	ārṣa	आर्षो	transfer — case	vibhakti-vyatyaya	auto	1	nīlakaṇṭhaḥ	शतं शतं सहस्रदशकम् । आर्षो विभक्तिव्यत्ययः । कुञ्जराणामयुतेन तुल्यं बाह्वोर्बलं यस्य तस्यापि वधेन मृष्यामीति न अपि तु मृष्याम्येव । मृत्युजयिनो भीष्मस्य क्षात्रब्राह्मोभयबलवतो द्रोणस्य च वधं कुर्
NIL-090	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.10.11	P08_U01_A010_S011	karnaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसष्टच्	compound-final / ṭac suffix	samāsānta	auto	1	nīlakaṇṭhaḥ	निशाम्य आलोच्य वर्चसं छान्दसष्टच् ॥११॥
NIL-091	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.10.45	P08_U01_A010_S045	karnaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — taddhita suffix	taddhita-luk	auto	1	nīlakaṇṭhaḥ	विषाणैः द्विपस्य गजस्य दन्तमयैः पात्रैः खड्गस्य गण्डकस्य महर्षभस्य गवयस्य च शृङ्गैः। 'विषाणं दन्तशृङ्गयोः' इति विश्वः । द्विपखड्गमहर्षभीयैरिति तद्धितलोप आर्षः ॥४५॥
NIL-092	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.12.1	P08_U01_A012_S001	karnaparva	nīlakaṇṭhaḥ	chāndasa	प्रगृह्यत्वाभावश्छान्दसः	absence of pragṛhya status	pragṛhyatva-abhāva	auto	1	nīlakaṇṭhaḥ	ते सेने इति । प्रगृह्यत्वाभावश्छान्दसः ॥१॥
NIL-093	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.12.22	P08_U01_A012_S022	karnaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	compound — member order	pūrva-nipāta	auto	1	nīlakaṇṭhaḥ	उदयाग्राद्रिभवनम् अग्रादीत्यग्रशब्दस्य पूर्वनिपात आर्षः । उदयनामा अग्राद्रिः पूर्वपर्वतः स एव भवनमिति वा । उदयाग्रात्रिभवनमिति पाठे उदयाचलस्याग्रे श्रृङ्गे अत्रेरर्कभूतस्य भवनम् ॥२२॥
NIL-094	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.44.14	P08_U01_A044_S014	karnaparva	nīlakaṇṭhaḥ	chāndasa	सन्धिश्छान्दसः	sandhi	sandhi	auto	1	nīlakaṇṭhaḥ	सूक्तानि विनोदवचनानि हेहते भोलिङ्गताडिते इत्याक्रोशे द्वित्वं सन्धिश्छान्दसः । स्वामिहते भर्तृहते इति च तद्वत् ॥१४॥
NIL-095	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.67.6	P08_U01_A067_S006	karnaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the nuṭ augment	nuḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अष्टौ गावो यस्मिन् तदष्टागवं शकटं तेषामष्टागवामष्ट अष्टसंख्यानि शकटानि । नुडभावः आर्षः । शतानि बाणान् अनेकशतसंख्यान्वहन्ति ॥६॥
NIL-096	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 8.80.18	P08_U01_A080_S018	karnaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	विनिर्दहन्नित्यत्राडभाव आर्षः ॥१८॥
NIL-097	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 9.1.1	P09_U01_A001_S001	shalyaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision	lopa	auto	1	nīlakaṇṭhaḥ	श्रीगणेशाय नमः। उक्ता सङ्गतिः कर्णपर्वादौ। एवं निपातित इति। उद्यमं पलायनं वा चक्रुरिति प्रष्टुरभिप्रायः। अल्पाः अवशिष्टा इति च्छेदः। अत्राकारलोप आर्षः॥१॥
NIL-098	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 9.1.20	P09_U01_A001_S020	shalyaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अपश्यामः अडाहमो विसर्गो वा आर्षः। वैशम्पायनवाक्यमिदम्॥२०॥
NIL-099	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 9.4.17	P09_U01_A004_S017	shalyaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the iṭ augment	iḍ-abhāva	auto	1	nīlakaṇṭhaḥ	संहृष्यन्ति संहरतिष्यति इडभाव आर्षः। मनांसि आत्मानं संहरिष्यन्ति मूढानि भविष्यन्तीत्यर्थः। संमुह्यन्तीति पाठान्तरम्॥१७॥
